"SUID","__mclCluster","name","selected","shared name"
"617256","1","STX7","false","STX7"
"617257","1","TPM2","false","TPM2"
"617258","1","RPS11","false","RPS11"
"617259","1","MRPL28","false","MRPL28"
"617260","1","EPPK1","false","EPPK1"
"617261","1","SSBP1","false","SSBP1"
"617262","1","TUBA1B","false","TUBA1B"
"617263","1","NDUFB5","false","NDUFB5"
"617264","1","NDUFAF4","false","NDUFAF4"
"617265","1","CALU","false","CALU"
"617266","1","SEPT11","false","SEPT11"
"617267","1","ZYX","false","ZYX"
"617268","1","MPV17","false","MPV17"
"617269","1","UBR4","false","UBR4"
"617270","1","RCC2","false","RCC2"
"617271","1","UBL5","false","UBL5"
"617272","1","VPS33A","false","VPS33A"
"617273","1","TBL2","false","TBL2"
"617274","1","TIMM13","false","TIMM13"
"617275","1","SFXN1","false","SFXN1"
"617276","1","NABP2","false","NABP2"
"617277","1","USP16","false","USP16"
"617278","1","MCM2","false","MCM2"
"617279","1","ATP6V1F","false","ATP6V1F"
"617280","1","TPR","false","TPR"
"617281","1","MRPL1","false","MRPL1"
"617282","1","HNRNPUL2","false","HNRNPUL2"
"617283","1","PSMB2","false","PSMB2"
"617284","1","PSMA8","false","PSMA8"
"617285","1","SSSCA1","false","SSSCA1"
"617286","1","LGMN","false","LGMN"
"617287","1","PSMB5","false","PSMB5"
"617288","1","THOC7","false","THOC7"
"617289","1","HSP90AA5P","false","HSP90AA5P"
"617290","1","YEATS4","false","YEATS4"
"617291","1","PICALM","false","PICALM"
"617292","1","HSPA1L","false","HSPA1L"
"617293","1","UBE2V1","false","UBE2V1"
"617294","1","CD55","false","CD55"
"617295","1","AHCYL1","false","AHCYL1"
"617296","1","RNMTL1","false","RNMTL1"
"617297","1","NDUFB9","false","NDUFB9"
"617298","1","LAPTM4A","false","LAPTM4A"
"617299","1","CLNS1A","false","CLNS1A"
"617300","1","CCT6A","false","CCT6A"
"617301","1","AHCY","false","AHCY"
"617302","1","THOC2","false","THOC2"
"617303","1","GNG12","false","GNG12"
"617304","1","SEC22B","false","SEC22B"
"617305","1","RRP9","false","RRP9"
"617306","1","ZC3H11A","false","ZC3H11A"
"617307","1","WDR1","false","WDR1"
"617308","1","IGBP1","false","IGBP1"
"617309","1","CD2BP2","false","CD2BP2"
"617310","1","UBL4A","false","UBL4A"
"617311","1","NUP133","false","NUP133"
"617312","1","SSR3","false","SSR3"
"617313","1","IMPDH1","false","IMPDH1"
"617314","1","PSMA2","false","PSMA2"
"617315","1","DNAJB11","false","DNAJB11"
"617316","1","ALDH5A1","false","ALDH5A1"
"617317","2","TMED9","false","TMED9"
"617318","1","MRPL16","false","MRPL16"
"617319","1","MSLN","false","MSLN"
"617320","16","URGCP","false","URGCP"
"617321","1","SURF4","false","SURF4"
"617322","1","TRMT112","false","TRMT112"
"617323","1","THOC5","false","THOC5"
"617324","1","SLC9A3R2","false","SLC9A3R2"
"617325","1","THOC3","false","THOC3"
"617326","1","RPS13","false","RPS13"
"617327","1","SON","false","SON"
"617328","1","DDX21","false","DDX21"
"617329","1","EPRS","false","EPRS"
"617330","1","ZNF326","false","ZNF326"
"617331","1","SYNCRIP","false","SYNCRIP"
"617332","1","UBAP2L","false","UBAP2L"
"617333","1","SSRP1","false","SSRP1"
"617334","1","HNRNPDL","false","HNRNPDL"
"617335","1","DDX5","false","DDX5"
"617336","1","THOC1","false","THOC1"
"617337","1","SRSF9","false","SRSF9"
"617338","1","SART1","false","SART1"
"617339","1","ILF3","false","ILF3"
"617340","1","TRA2B","false","TRA2B"
"617341","1","PRPF31","false","PRPF31"
"617342","1","CHD4","false","CHD4"
"617343","1","ILF2","false","ILF2"
"617344","1","HNRNPM","false","HNRNPM"
"617345","1","SRSF5","false","SRSF5"
"617346","1","RBMX","false","RBMX"
"617347","1","SNRPA","false","SNRPA"
"617348","1","U2AF1","false","U2AF1"
"617349","1","HNRNPR","false","HNRNPR"
"617350","1","PRPF8","false","PRPF8"
"617351","1","EFTUD2","false","EFTUD2"
"617352","1","SNRPD3","false","SNRPD3"
"617353","1","HNRNPK","false","HNRNPK"
"617354","1","SNRPB2","false","SNRPB2"
"617355","1","SNRPD1","false","SNRPD1"
"617356","1","SNRNP200","false","SNRNP200"
"617357","1","SNRPA1","false","SNRPA1"
"617358","1","SF3A3","false","SF3A3"
"617359","1","SF3A1","false","SF3A1"
"617360","1","SMARCD3","false","SMARCD3"
"617361","1","NOS3","false","NOS3"
"617362","1","NAT2","false","NAT2"
"617363","4","APP","false","APP"
"617364","1","ATP6V1B1","false","ATP6V1B1"
"617365","1","PACRG","false","PACRG"
"617366","1","CCT2","false","CCT2"
"617367","1","TCP1","false","TCP1"
"617368","1","RAD23B","false","RAD23B"
"617369","1","GABARAP","false","GABARAP"
"617370","1","USP28","false","USP28"
"617371","1","USP15","false","USP15"
"617372","6","USP21","false","USP21"
"617373","1","TRIM63","false","TRIM63"
"617374","1","RAD54L2","false","RAD54L2"
"617375","1","FBXO6","false","FBXO6"
"617376","1","SMAD1","false","SMAD1"
"617377","1","MAP2K2","false","MAP2K2"
"617378","1","DPP4","false","DPP4"
"617379","1","PARK7","false","PARK7"
"617380","1","TAB2","false","TAB2"
"617381","1","RBM41","false","RBM41"
"617382","1","ODF3L2","false","ODF3L2"
"617383","1","DDX60","false","DDX60"
"617384","1","RIOK1","false","RIOK1"
"617385","1","MYCBP","false","MYCBP"
